T,tau,policy,kills_evict,kills_scalein,scale_ins,recomputed_tokens,useful_prefill,waste_ratio,slo,gpu_s
1,0.0,hpa-gpu,511,653,20,0,15163009,0.0,0.8974010069397197,12615.0
1,0.0,keda-queue,107,28,2,0,15282456,0.0,0.9855072463768116,128700.0
1,0.0,kv-util,583,210,12,0,11818621,0.0,0.6563643757625051,6360.0
1,0.0,park-aware,582,2358,66,0,14820983,0.0,0.8357866306549628,6390.0
2,8.0,hpa-gpu,2597,783,12,5057014,11833248,0.42735637755584943,0.35116691688276236,6495.0
2,8.0,keda-queue,442,3770,41,7645288,15340903,0.4983597119413375,0.5779978296256104,9915.0
2,8.0,kv-util,2140,353,14,3623857,8603647,0.4212001027006338,0.2631507592190889,5385.0
2,8.0,park-aware,1969,1050,58,6334064,13935570,0.4545249315241501,0.7790130151843818,7770.0
4,8.0,hpa-gpu,3540,527,13,12074663,15820322,0.7632374992114572,0.5635691802381279,10665.0
4,8.0,keda-queue,1216,3797,40,12194080,15854176,0.769139941426158,0.48067963825705673,7035.0
4,8.0,kv-util,2618,255,9,6189807,8862143,0.6984548771104235,0.25568648944916417,5640.0
4,8.0,park-aware,2266,401,34,8737564,12483223,0.6999445575874115,0.8130994793093999,9405.0
8,8.0,hpa-gpu,3082,391,12,9959415,11821561,0.8424788401464071,0.34772541541814217,6495.0
8,8.0,keda-queue,1292,3486,47,14364010,16257482,0.8835322714796793,0.3734229292375206,6465.0
8,8.0,kv-util,2243,150,7,6264320,7910547,0.7918946692308383,0.21325251412040225,5370.0
8,8.0,park-aware,2428,156,21,12149161,14042943,0.8651435101602278,0.8642465753424657,11490.0
16,8.0,hpa-gpu,2871,347,17,12508393,13456955,0.929511393922325,0.4048143053645117,6855.0
16,8.0,keda-queue,1379,2041,42,11496785,12432023,0.924771857323623,0.3600831600831601,4665.0
16,8.0,kv-util,3140,47,7,13614920,14547100,0.9359198740642465,0.3349910208592347,7815.0
16,8.0,park-aware,2819,105,15,16980256,17928818,0.9470928869934426,0.759150102810144,11475.0
