tau_target_s,neighbours,survival_probability,mean_survival_score,mean_probe_ttft_s,mean_park_actual_s
0.0,0,1.0,0.9984158521008794,0.1432415662954251,3.921488920847575e-06
0.0,4,1.0,0.9983173827064199,0.14742648229002953,3.034278259302179
0.0,8,1.0,1.0,0.12174869266649087,6.122473329926531
0.0,16,1.0,0.6445786861055579,1.4195776761819918,12.203247181450328
0.0,24,0.0,0.001453629156201657,3.7324289114524922,18.178291993836563
8.0,0,1.0,0.9979380140919526,0.15381008945405483,8.000081969425082
8.0,4,1.0,0.9973983874536473,0.14582116529345512,8.000086582576236
8.0,8,1.0,1.0,0.12802394044895968,8.000073006376624
8.0,16,1.0,0.6460959217507843,1.4138327085723479,12.171953200673064
8.0,24,0.0,0.0,3.7472769444187484,18.307021167129278
32.0,0,1.0,0.9912573897343112,0.16114693072934946,32.00008664218088
32.0,4,1.0,0.9961585020545023,0.1501100721458594,32.0000811672459
32.0,8,1.0,1.0,0.14020210690796375,32.00008558668196
32.0,16,1.0,0.6442917928689907,1.4193318951874971,32.00007323982815
32.0,24,0.0,0.01143155971773178,3.7234626300632954,32.000075429057084
