ctx_tokens,rep,ttft_miss_s,ttft_hit_s,recompute_penalty_s,speedup
1000,0,0.2442338727414608,0.04970076307654381,0.194533109664917,4.914086980220361
1000,1,0.19417397864162922,0.05028131231665611,0.1438926663249731,3.861752402538377
1000,2,0.1939399093389511,0.050334177911281586,0.14360573142766953,3.8530461286322635
2000,0,0.3815954066812992,0.057021239772439,0.3245741669088602,6.692162573177546
2000,1,0.3807481024414301,0.05700329318642616,0.32374480925500393,6.679405366918262
2000,2,0.379261689260602,0.05679970048367977,0.3224619887769222,6.677177626483701
4000,0,0.7743349298834801,0.07106097228825092,0.7032739575952291,10.896768014128439
4000,1,0.773618433624506,0.06929138489067554,0.7043270487338305,11.164713114697912
4000,2,0.7739068623632193,0.0698675774037838,0.7040392849594355,11.076766808309387
8000,0,1.6512167192995548,0.09485453180968761,1.5563621874898672,17.407884344550776
8000,1,1.6489405538886786,0.0985419899225235,1.550398563966155,16.733379904192336
8000,2,1.6502704378217459,0.0970749780535698,1.553195459768176,16.999956846872134
16000,0,3.7337506860494614,0.13451801240444183,3.5992326736450195,27.756510963182887
16000,1,3.7319584395736456,0.1364230066537857,3.59553543291986,27.35578500365858
16000,2,3.727680603042245,0.13686944544315338,3.5908111575990915,27.235301428838476
32000,0,9.222236264497042,0.21565918438136578,9.006577080115676,42.763011883549986
32000,1,9.22947690822184,0.21020201966166496,9.019274888560176,43.90765094967849
32000,2,9.258344864472747,0.2013073582202196,9.057037506252527,45.99109017338853
